Date / Statut,Vol,De,Arrivée Planifiée,Départ,Arrivé,Durée,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"lun, 18. sept 2017 10:35 EDT A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:35 EDT,10:00 EDT à temps,10:35 EDT à temps,35m,,,,,
"lun, 18. sept 2017 13:30 EDT A Atterri",S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EDT,13:00 EDT à temps,13:30 EDT à temps,30m,,,,,
"lun, 18. sept 2017 14:35 EDT A Atterri",DL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:35 EDT,11:30 EDT à temps,14:35 EDT planifié,3h 5m,,,,,
"lun, 18. sept 2017 16:45 EDT A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EDT,16:15 EDT à temps,16:45 EDT à temps,30m,,,,,
"mar, 19. sept 2017 08:30 EDT A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EDT,08:00 EDT à temps,08:30 EDT à temps,30m,,,,,
"jeu, 21. sept 2017 10:30 EDT A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:30 EDT,10:00 EDT à temps,10:30 EDT à temps,30m,,,,,
"jeu, 21. sept 2017 11:00 EDT A Atterri",AF613 AFR613 Air France (AF / AFR),Miami (MIA / KMIA),11:00 EDT,09:31 EDT 26 min retard,11:10 EDT 10 min retard,1h 39m,,,,,
"jeu, 21. sept 2017 11:00 EDT A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),11:00 EDT,06:30 UTC-05 1 h 30 min retard,12:11 EDT 1 h 11 min retard,4h 40m,,,,,
"jeu, 21. sept 2017 11:09 EDT A Atterri",B61835 JBU1835 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),11:09 EDT,07:30 EDT 16 min retard,10:56 EDT 13 min tôt,3h 25m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
