,Vol,De,arrival_real_date_planed,arrival_real_date_time_planed,arrival_real_date_time,month,hour,weekday,quarter,delay_in_minutes,duration_in_minutes,is_late
0,B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 07:48:00,2017-10-01 07:54:00,10,7,6,4,6.0,97.0,1
1,B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 07:48:00,2017-10-01 07:54:00,10,7,6,4,6.0,97.0,1
2,S6200 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (SDQ / MDSD),2017-10-01,2017-10-01 08:00:00,2017-10-01 08:00:00,10,8,6,4,0.0,45.0,0
3,AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 08:02:00,2017-10-01 07:46:00,10,8,6,4,-16.0,96.0,0
5,AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 08:02:00,2017-10-01 07:46:00,10,8,6,4,-16.0,96.0,0
6,S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),2017-10-01,2017-10-01 08:17:00,2017-10-01 08:17:00,10,8,6,4,0.0,47.0,0
7,S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),2017-10-01,2017-10-01 08:30:00,2017-10-01 08:30:00,10,8,6,4,0.0,30.0,0
8,S61217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),2017-10-01,2017-10-01 09:00:00,2017-10-01 09:00:00,10,9,6,4,0.0,45.0,0
9,NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 09:11:00,2017-10-01 08:48:00,10,9,6,4,-23.0,95.0,0
11,NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 09:11:00,2017-10-01 08:48:00,10,9,6,4,-23.0,95.0,0
12,AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),2017-10-01,2017-10-01 09:20:00,2017-10-01 09:01:00,10,9,6,4,-19.0,96.0,0
13,AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),2017-10-01,2017-10-01 09:20:00,2017-10-01 09:01:00,10,9,6,4,-19.0,96.0,0
14,B61835 JBU1835 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),2017-10-01,2017-10-01 11:09:00,2017-10-01 11:17:00,10,11,6,4,8.0,220.0,1
15,B61835 JBU1835 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),2017-10-01,2017-10-01 11:09:00,2017-10-01 11:17:00,10,11,6,4,8.0,220.0,1
17,AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),2017-10-01,2017-10-01 11:10:00,2017-10-01 10:55:00,10,11,6,4,-15.0,210.0,0
18,AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),2017-10-01,2017-10-01 11:10:00,2017-10-01 10:55:00,10,11,6,4,-15.0,210.0,0
19,AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),2017-10-01,2017-10-01 12:59:00,2017-10-01 13:04:00,10,12,6,4,5.0,99.0,1
20,AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),2017-10-01,2017-10-01 12:59:00,2017-10-01 13:04:00,10,12,6,4,5.0,99.0,1
21,JY216 InterCaribbean Airways (JY / IWY),Providenciales (PLS / MBPV),2017-10-01,2017-10-01 13:10:00,2017-10-01 13:10:00,10,13,6,4,0.0,64.0,0
23,TX556 FWI556 Air Caraïbes (TX / FWI),Paris (ORY / LFPO),2017-10-01,2017-10-01 13:15:00,2017-10-01 13:15:00,10,13,6,4,0.0,530.0,0
24,9Q601 Caicos Express Airways (9Q / CXE),Providenciales (PLS / MBPV),2017-10-01,2017-10-01 13:15:00,2017-10-01 13:15:00,10,13,6,4,0.0,75.0,0
25,TX556 FWI556 Air Caraïbes (TX / FWI),Paris (ORY / LFPO),2017-10-01,2017-10-01 13:15:00,2017-10-01 13:15:00,10,13,6,4,0.0,530.0,0
26,S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),2017-10-01,2017-10-01 13:30:00,2017-10-01 13:30:00,10,13,6,4,0.0,30.0,0
27,S6305 Flag of Haiti Sunrise Airways (S6 / KSZ),Havana (HAV / MUHA),2017-10-01,2017-10-01 14:00:00,2017-10-01 14:00:00,10,14,6,4,0.0,120.0,0
29,DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),2017-10-01,2017-10-01 14:35:00,2017-10-01 14:26:00,10,14,6,4,-9.0,161.0,0
30,DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),2017-10-01,2017-10-01 14:35:00,2017-10-01 14:26:00,10,14,6,4,-9.0,161.0,0
31,B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 15:52:00,2017-10-01 15:49:00,10,15,6,4,-3.0,99.0,0
32,B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 15:52:00,2017-10-01 15:49:00,10,15,6,4,-3.0,99.0,0
33,AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 16:35:00,2017-10-01 16:18:00,10,16,6,4,-17.0,99.0,0
35,AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-01,2017-10-01 16:35:00,2017-10-01 16:18:00,10,16,6,4,-17.0,99.0,0
36,B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-02,2017-10-02 07:48:00,2017-10-02 07:52:00,10,7,0,4,4.0,98.0,1
37,B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),2017-10-02,2017-10-02 07:48:00,2017-10-02 07:52:00,10,7,0,4,4.0,98.0,1
38,S6200 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (SDQ / MDSD),2017-10-02,2017-10-02 08:00:00,2017-10-02 08:00:00,10,8,0,4,0.0,45.0,0
39,AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-02,2017-10-02 08:02:00,2017-10-02 07:44:00,10,8,0,4,-18.0,94.0,0
41,AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),2017-10-02,2017-10-02 08:02:00,2017-10-02 07:44:00,10,8,0,4,-18.0,94.0,0
